=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.06.09 18:44:08 =~=~=~=~=~=~=~=~=~=~=~=
30.064693 31.279509
30.064737 31.27948430.064737 31.279484
30.064730 31.27950130.064730 31.279501
30.064754 31.27953030.064754 31.279530
30.064770 31.27954130.064770 31.279541
30.064754 31.27957330.064754 31.279573
30.064747 31.27958130.064747 31.279581
30.064754 31.27959130.064754 31.279591
30.064783 31.27957030.064783 31.279570
30.064831 31.27955230.064831 31.279552
30.064856 31.27955230.064856 31.279552
30.064877 31.27956230.064877 31.279562
30.064779 31.27960230.064779 31.279602
30.064718 31.27961330.064718 31.279613
30.064680 31.27962730.064680 31.279627
30.064669 31.27964230.064669 31.279642
30.064672 31.27964630.064672 31.279646
30.064686 31.27965930.064686 31.279659
30.064718 31.27968830.064718 31.279688
30.064718 31.27968030.064718 31.279680
30.064751 31.27970330.064751 31.279703
30.064775 31.27972830.064775 31.279728
30.064802 31.27975330.064802 31.279753
30.064798 31.27975730.064798 31.279757
30.064816 31.27976030.064816 31.279760
30.064877 31.27974530.064877 31.279745
30.064892 31.27975330.064892 31.279753
30.064884 31.27974130.064884 31.279741
30.064869 31.27973630.064869 31.279736
30.064852 31.27969930.064852 31.279699
30.064837 31.27964230.064837 31.279642
30.064827 31.27959830.064827 31.279598
30.064798 31.27946330.064798 31.279463
30.064766 31.27931430.064766 31.279314
30.064754 31.27930530.064754 31.279305
30.064747 31.27931430.064747 31.279314
30.064741 31.27932930.064741 31.279329
30.064741 31.27936630.064741 31.279366
30.064747 31.279402
